段階,段階見出し,異変ID,異変名,カテゴリ,重さ,異変の内容（本文に何が起きるか）,出るタイミング（直前の正常テキスト）,編集コメント
段階1,夕方の部屋,A1-01,直前ブロックの繰り返し,repetition,low,"「宿題の文字を追っているはずなのに、気づくと同じ行に戻っている。」の直後に、直近の文章ブロックを通常本文と同じ書式で何度も書き始める。コピペミスのようにも見えるが、本文そのものが詰まってループしている異変。具体：

仕事の都合だと、母は言った。ミナトはそれ以上聞かなかった。聞けば母が困った顔をするし、自分でも何を知りたいのか分からなかった。 
宿題の文字を追っているはずなのに、気づくと同じ行に戻っている。

仕事の都合だと、母は言った。ミナトはそれ以上聞かなかった。聞けば母が困った顔をするし、自分でも何を知りたいのか分からなかった。 
宿題の文字を追っているはずなのに、気づくと同じ行に戻っている。

仕事の都合だと、母は言った。ミナトはそれ以上聞かなかった。聞けば母が困った顔をするし、自分でも何を知りたいのか分からなかった。 
宿題の文字を追っているはずなのに、気づくと同じ行に戻っている。",宿題の文字を追っているはずなのに、気づくと同じ行に戻っている。,同じ文章が繰り返されています。
段階1,夕方の部屋,A1-02,眠気の反復が暴走する,repetition,low,"「寝てはいけない。」の直後に、眠気の言葉が通常本文として改行しながら連続する。最初は眠気描写に見えるが、「寝るな。」が増えて命令のように変わる。ギャグと薄いホラーの中間。具体：

寝てはいけない。

眠い。
眠い。
眠い。
眠い。
寝てはいけない。
寝てはいけない。
寝るな。
寝るな。
寝るな。",寝てはいけない。,同じ言葉が繰り返されています。
段階1,夕方の部屋,A1-03,時計の時刻が変わり続ける,logic_break,low,"時刻の記述が自分で訂正され続け、7時と9時を行き来する。最後に「母はまだ帰ってこない。」が反復して少し不穏になる。具体：

時計の針は、７時を少し回っている。

いや、九時を少し回っている。
いや、七時を少し回っている。
いや、ずっと七時を少し回っている。
母はまだ帰ってこない。
母はまだ帰ってこない。",時計の針は、７時を少し回っている。,時刻の記述がおかしくなっています。
段階1,夕方の部屋,A1-04,帰ってこないの巨大化,visual_text,medium,"「母が帰ってきたら、すぐ顔を上げるつもりだった。」の直後に、「帰ってこない。」が繰り返される。赤字にはしない。行ごとに文字サイズを大きくして、圧が増していくように表示する。例：1行目16px、2行目22px、3行目32px、4行目48px。具体：

母が帰ってきたら、すぐ顔を上げるつもりだった。

帰ってこない。
帰ってこない。
帰ってこない。
帰ってこない。",母が帰ってきたら、すぐ顔を上げるつもりだった。,文字サイズが不自然に大きくなっています。
段階1,夕方の部屋,A1-05,一文字ずつ改行される,layout_break,low,"「眠ってしまった。」という言葉だけが、一文字ごとに改行されて縦に落ちていくように表示される。本文の流れが視覚的に崩れる異変。具体：

眠
っ
て
し
ま
っ
た
。",最後に時計を見ようとして、ミナトはそのまま眠ってしまった。,文字の並びが崩れています。
段階1,夕方の部屋,A1-06,同じ助詞だけが続く,repetition,low,"「父が家を出たのも、今年の春だ。」の直後に、助詞「のも」だけが引っかかったように連続する。軽いバグっぽさと文法崩れの異変。具体：

父が家を出たのも、今年の春だ。
のも、のも、のも、のも、のも。
今年の春だ。",父が家を出たのも、今年の春だ。,同じ語が不自然に続いています。
段階1,夕方の部屋,A1-07,同じ段落がだんだん短くなる,text_break,low,"直前の段落が繰り返されるたびに短くなり、最後は主語だけが残る。文章が削れていくように見せる。具体：

母は春から、駅前の弁当屋に長く入るようになった。父が家を出たのも、今年の春だ。
母は春から、駅前の弁当屋に長く入るようになった。
母は春から。
母は。",母は春から、駅前の弁当屋に長く入るようになった。父が家を出たのも、今年の春だ。,文章が途中で途切れています。
段階1,夕方の部屋,A1-08,本文が中央揃えになる,layout_break,low,"「寝てはいけない。」の直後に、同じ文が繰り返されながら行ごとに中央寄せ・右寄せ気味にずれていく。通常の左揃え本文から外れ、ページ上で文字位置が崩れる異変。具体：

寝てはいけない。

　　　　寝てはいけない。

　　　　　　　　寝てはいけない。

　　　　　　　　　　　　寝てはいけない。",寝てはいけない。,文字の位置が崩れています。
段階2,知らない駅,A2-01,切符の印字が増える,text_escalation,medium,"「片道」とだけ印字された切符の説明の直後に、切符の印字が勝手に増えていくような文章が通常本文として続く。最初は切符の説明に見えるが、途中から「帰れない」「帰してもらえない」という強い拒絶文に変わる。具体：

青いインクで「片道」とだけ印字されている。

帰れません。
帰しません。
帰り道もわからなくなってしまいました。
もう手遅れです。
帰ったところで一体何があるというのでしょうか。",青いインクで「片道」とだけ印字されている。,切符の印字がおかしくなっています。
段階2,知らない駅,A2-03,駅員のセリフが壊れる,dialogue_break,medium,"駅員の説明台詞が途中から崩れ、単語の順番が入れ替わり、「行け」「行ける」などの語が混ざって不自然な文章になる。会話として成立していないが、元の台詞の残骸は残っている。具体：

「そう。書いた場所に行けるよ。行け。行ける。行それ過去や未こそ、来にだってね。そう。」",「そう。書いた場所に行けるよ。それこそ、過去や未来にだってね」,駅員の台詞が崩れています。
段階2,知らない駅,A2-05,行きたい場所リストが暴走する,surreal_text,medium,"普通の行きたい場所の候補が並んだあと、急に不穏で個人的すぎる場所、夢のような場所、逃避先のような場所が混ざる。前半は自然な候補だが、後半から明らかに本文の調子が変わる。具体：

東京。海。遊園地。星の見える山。テレビで見た外国の町。

あのとき見た病院。
暗い暗い水の底。
無人の神社。
いつも一人で立っていた公園。
森の奥には、洞窟があります。
そこは深く、きっと誰も訪ねてこれないでしょう。",東京。海。遊園地。星の見える山。テレビで見た外国の町。,行き先の候補がおかしくなっています。
段階2,知らない駅,A2-08,駅員がこちらを見ている,viewpoint_break,high,"本来は「駅員が顔を上げようとしない」場面を丸ごと置き換える。駅員がミナトではなく「こちら」を見ているようになり、後半は「見ている。」が高速で大量入力される。視線の向きと語りの対象が壊れる強めの異変。具体：

彼はこちらを見ていた。じっと見つめて、私を離さない。
見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。見ている。",ミナトが近づいても顔を上げようとしない。,駅員の描写と視点がおかしくなっています。
段階2,知らない駅,A2-11,目覚めの否定,format_break,high,"正常本文「次に目を開けると、知らない駅にいた。」に打ち消し線が入り、その下に別の文章が差し込まれる。夢の駅へ移動する場面そのものを否定し、眠りから戻れないような文章に変わる。具体：

~~次に目を開けると、知らない駅にいた。~~

もう目覚めることはありません。
きっと幸福な眠りについたのでしょう。",次に目を開けると、知らない駅にいた。,本文が打ち消され、別の文章に置き換わっています。
段階2,知らない駅,A2-12,本文がカタカナ化する,format_break,medium,"「取り出してみると、厚紙でできた小さな切符だった。」から「駅員は短い鉛筆を一本差し出した。」までの範囲が、すべてカタカナ表記になる。内容は読めるが、急に電報・機械翻訳・古い字幕のような見た目になり、本文として不自然。具体：

トリダシテミルト、アツガミデデキタチイサナキップダッタ。
アオイインクデ「カタミチ」トダケインジサレテイル。
イキサキノランニハ、マダナニモカカレテイナイ。

マドグチニハ、シラガノエキインガヒトリスワッテイタ。
フルイジコクヒョウヲメクッテイテ、ミナトガチカヅイテモカオヲアゲヨウトシナイ。

「スミマセン」

コエヲカケルト、エキインハヨウヤクカオヲアゲタ。

「コノキップ、ツカエマスカ？」

ミナトガキップヲミセルト、エキインハミジカイエンピツヲイッポンサシダシタ。",取り出してみると、厚紙でできた小さな切符だった。,本文が不自然にカタカナ表記になっています。
段階3,父の記憶,A3-01,画像を連投し始める,image_spam,medium,"「切符の空白を見ているうちに、今年の春のことを思い出した。」の直後から、本文ではなく画像が連続で貼られ始める。父が家を出ていった日の記憶を文章で書くはずが、記憶の断片画像を資料のように連投している異変。最初は資料画像に見えるが、同じドアノブが繰り返されて明らかにおかしくなる。具体：

[画像：玄関の床]
[画像：黒い鞄の持ち手]
[画像：白い壁]
[画像：ぶれたドアノブ]
[画像：暗い廊下]
[画像：同じドアノブ]
[画像：同じドアノブ]
[画像：同じドアノブ]",切符の空白を見ているうちに、今年の春のことを思い出した。,画像が連続して挿入されています。
段階3,父の記憶,A3-02,写真のキャプションだけが本文になる,image_caption_break,medium,"「黒い鞄を持った父の背中は、いつもより少し小さく見えた。」の位置で、黒い鞄の画像が挿入され、その下のキャプションだけが本文のように続いていく。画像説明が徐々に矛盾し、父の鞄なのか、置いていかれたものなのか、今も玄関にあるのか分からなくなる。具体：

[画像：黒い鞄]

これは父の鞄です。
これは父の鞄ではありません。
これは置いていかれたものです。
これは持っていかれたものです。
これはまだ玄関にあります。
これはもうありません。",黒い鞄を持った父の背中は、いつもより少し小さく見えた。,画像説明が矛盾しています。
段階3,父の記憶,A3-04,音声データが貼られる,audio_attachment,medium_high,"「でも、どれも声にならない。」の直後に、本文内へ音声ファイルが複数貼られる。言葉として声にならなかったはずのものが、音声データとして出現する異変。再生しても、息、ドアの音、何か言いかけたような声だけで、明確な言葉にはならない。具体：

でも、どれも声にならない。

[音声ファイル：voice_001.wav]
[音声ファイル：voice_002.wav]
[音声ファイル：voice_003.wav]",でも、どれも声にならない。,音声ファイルが本文内に挿入されています。
段階3,父の記憶,A3-11,逆さ文字を打ち始める,reversed_text,medium,"「言いたいことはあった。」の直後から、文章ブロックが文字単位で逆順に入力される。通常の原稿として読めず、テキストエディター上で入力方向が壊れたように見える異変。具体：

。たっあはとこいたい言
。かと、でいなか行
。かと、てしうど
。かと、のたしをか何が僕",言いたいことはあった。,文字が逆順に入力されています。
段階3,父の記憶,A3-12,すべて取り消し線で消される,strikethrough_all,high,"段階3内のどこかで、これまで表示されている全ての本文に打ち消し線がかかる。その後、10行程度の大きな空白を挟んで「もう書けない。」だけが通常本文として表示される。作者が原稿全体を消そうとしているように見える強めの異変。具体：

~~その夜、ミナトは母の帰りを待っていた。~~
~~テーブルには、半分だけ残った麦茶と、終わらない夏休みの宿題が広がっている。~~
~~……~~
~~でも、どれも声にならない。~~









もう書けない。",でも、どれも声にならない。,本文全体が打ち消し線で消されています。
段階3,父の記憶,A3-15,行頭に謎のタイムスタンプが入る,timestamp_log,medium,"「黒い鞄を持った父の背中は、いつもより少し小さく見えた。」の周辺の文章が、突然タイムスタンプ付きのログのようになる。父が家を出る場面を、誰かが分単位で記録しているように見える。具体：

06:12　黒い鞄を持った父の背中は、いつもより少し小さく見えた。
06:13　玄関の外で、何かを言いかけて、結局何も言わない。
06:14　母も黙っていた。
06:15　ミナトも、何も言えなかった。
06:16　ドアが閉まる。
06:17　まだ間に合う。
06:18　もう間に合わない。",黒い鞄を持った父の背中は、いつもより少し小さく見えた。,本文が時刻ログのようになっています。
段階3,父の記憶,A3-16,行が勝手にインデントされて逃げる,indent_shift,medium,"「父は少しだけ振り返った。その時、ミナトは父の顔を見ることができなかった。」の周辺で、同じ文章が右へ右へずれながら繰り返される。目を逸らしている感じ、逃げていく感じを、テキスト位置のズレで表現する異変。具体：

父は少しだけ振り返った。
　その時、ミナトは父の顔を見ることができなかった。
　　その時、ミナトは父の顔を見ることができなかった。
　　　その時、ミナトは父の顔を見ることができなかった。
　　　　その時、ミナトは父の顔を見ることができなかった。",父は少しだけ振り返った。,同じ文章が位置を変えて繰り返されています。
段階3,父の記憶,A3-21,特大の赤黒い文字で書き始める,huge_dark_red_text,high,"「言いたいことはあった。」または「でも、どれも声にならない。」の直後に、通常本文を中断して、三文字程度で一行が埋まるほどの特大文字を赤黒い色で表示する。原稿というより叫びのように見せる。具体：

言え
なか
った

※各行を三文字で画面幅に近い大きさに表示。文字色は赤黒い色。",言いたいことはあった。,文字サイズと文字色が不自然に変化しています。
4,行き先を書く／電車に乗る場面,A4-02,夢文の連続入力,夢文・意味崩壊,強,その時、今朝の母を思い出した。,"母の回想に入るはずが、台所・輪ゴム・弁当箱・駅員・父の靴音などが夢の連想でつながり、意味は通らないが文体だけは小説らしい長文が連続入力される。

具体例：
その時、今朝の母を思い出した。

母は台所で、台所は母で、母の手首に巻かれた輪ゴムは小さな環状線となって朝を七周半めぐり、弁当箱の中ではまだ生まれていない駅員たちが白い手袋で麦茶を磨いていた。

遅いの、という言葉は魚になって流し台を跳ね、跳ねるたびに父の靴音が柔らかい砂糖菓子へ変わり、ミナトはそれをポケットに入れたまま大人になる練習をしていた。",回想の文章が異常に飛躍しています。
4,行き先を書く／電車に乗る場面,A4-04,画面全体が文字化けに飲まれる,文字化け・画面全体異常,強,書き終えると、ホームに電車が入ってきた。一両だけの古い電車だった。,"電車が来た瞬間、本文だけでなく、タイトル、コメントボタン、保存表示、コメント欄など、画面内に表示されているテキストが段階的に文字化けしていく。原稿の異変ではなく、WEBページ全体が壊れ始めるピーク演出。

具体例：
書き終えると、ホームに電車が入ってきた。一両だけの古い電車だった。

繧ゅ≧譖ｸ縺代↑縺
髮ｻ霆翫′譚･繧九
繝峨い縺ｯ髢九＞縺溘
縺昴ｌ縺ｯ髮ｻ霆翫〒縺吶°

UI例：
コメントする → 繧ｳ繝｡繝ｳ繝医☆繧
保存中 → 菫晏ｭ倥＠縺ｦ縺?∪縺
RE:DRAFT → R繧E:D縺RAFT",画面全体の文字が文字化けしています。
4,行き先を書く／電車に乗る場面,A4-05,プレイヤーへの恨み節,直接語り・固定異変,強／必ず一度だけ発生,"「その行き先でいいのかい」
駅員が言った。","作者がプレイヤーの『指摘する』操作を認識し、ゲームシステムそのものへの怒りを本文に漏らす。この異変は重みを持たせるため、必ず一度だけ発生する固定異変にする。

具体例：
「その行き先でいいのかい」
駅員が言った。

いいわけないだろ。

あんたはいいよな、間違えたら指摘するだけで。
こっちは何度も何度も何度も、同じところまで戻されて、同じ文章を書いて。

赤字を入れれば終わりだと思っているんだろ。
書くのはこっちなのに。

一行消えたら、それで終わりだと思っているんだろ。
でも、こっちは消えたあとも覚えている。
書かなかったことにした文章も、直された台詞も、全部覚えてるんだよ。

あんたは読んでいるだけだ。
見つけて、押して、戻して、それで済む。

こっちは違う。

こっちは、書いているんだ。

許さない。許さない。許さない。許さない。許さない。許さない。許さない。許さない。許さない。許さない。許さない。許さない。許さない。許さない。許さない。許さない。許さない。",作者の発言が本文に混ざっています。
4,行き先を書く／電車に乗る場面,A4-08,電車への飛び込みを想起させる描写,ホラー・書いては消す演出,強,電車の音が近づいてくる。,"電車の音をきっかけに、危険な場面を想起させる文章が書かれては消え、別の文章に置き換わる。直接的な説明ではなく、赤い視界、白線、風、音、床に散るものなどで示唆する。最後に『うらやましい。』だけが残り、作者自身の危うさが見える。

表示例：
電車の音が近づいてくる。

ホームの端に、誰かが立っている。

（すぐ消える）

電車の音が近づいてくる。

誰もいない。
ホームには誰もいない。
白線の内側には誰もいない。

（すぐ消える）

電車の音が近づいてくる。

赤い光が先に来た。
音よりも先に、赤いものが視界を覆った。

（すぐ消える）

電車の音が近づいてくる。

風が吹いた。
強い風だった。
身体が引かれるような風だった。
ホームの床に落ちていた小さな紙が、線路の方へ滑っていった。

（すぐ消える）

電車の音が近づいてくる。

誰かが一歩、前に出た。
誰かではない。
分かっている。
でも、名前を書いたら戻れなくなる。

（すぐ消える）

電車の音が近づいてくる。

ブレーキの音がした。
空気が裂けるような音だった。
そのあとで、白い床に、細かい赤が散った。

それは花びらのようにも見えた。
紙くずのようにも見えた。
そう書いてはいけない。
そう書いたら、本当になる。

（すぐ消える）

最終的に残る文：
電車の音が近づいてくる。

うらやましい。",電車の描写が危険な内容に変わっています。
4,行き先を書く／電車に乗る場面,A4-12,プレイヤーに直接話しかける,直接語り,強,「はい。ここに行きたいんです」,"ミナトの返答から、作者がプレイヤーへ直接話しかける。編集者への確認のように始まり、次第に責める口調になる。

具体例：
「はい。ここに行きたいんです」

あなたは、そう思いますか。
ここでいいと思いますか。

また違うと言いますか。
また戻しますか。
また、私に同じところを書かせますか。

どこなら正しいんですか。
どこまで戻れば、あなたは満足しますか。",本文が読者に話しかけています。
4,行き先を書く／電車に乗る場面,A4-19,URLが本文に混ざる,Web・正体疑い,強,ミナトは電車に乗った。 または 車内には誰もいない。,"本文中に共有URLのような文字列が挿入される。その直後、作者がプレイヤーの正体を疑い始める。『担当編集のフリをして指摘している』というゲーム構造がホラーとして表面化する。

具体例：
ミナトは電車に乗った。

https://redraft.local/document/return/no-return/no-return/no-return

このリンクを知っている全員が閲覧できます。
このリンクを知っている全員が編集できます。
このリンクを知っている全員が戻せます。

さっきから見ていますよね。

あなた、もしかして編集の山島さんじゃないんじゃないですか？",URLと作者の呼びかけが本文に混ざっています。
4,行き先を書く／電車に乗る場面,A4-33,書いていくそばから黒塗りになる,黒塗り・発狂,強,ミナトは、切符にゆっくり文字を書いた。 または 最初に書こうとしていた言葉とは、違う言葉だった。,"作者が文章を書いていくそばから、文頭側が黒塗りに変わっていく。削除ではなく、書いた内容が読めない状態にされる。作者は自分で消していないのに文章が黒くなっていくため、途中から明確に取り乱す。

具体例：
ミナトは、切符にゆっくり文字を書いた。

数秒後：
■■■■は、切符にゆっくり文字を書いた。

さらに：
■■■■■■■■■■■■■■文字を書いた。

さらに：
■■■■■■■■■■■■■■■■■■■■。

作者が続けて書く：
違う。消してない。
私は消してない。
勝手に黒くなる。
書いたそばから見えなくなる。
見えないなら、何を書いたか分からない。
何を書いたか分からないなら、直しようがない。
直しようがないなら、戻さないで。
戻さないで。
戻さないで。

さらに黒塗りが増える：
■■■■。■■■■■■。
私は■■■■ない。
勝手に■■■■なる。
書いたそばから■■■■なる。
■■■■なら、何を書いたか■■■■ない。
■■■■ないなら、直しようがない。
直しようがないなら、戻さないで。
戻さないで。
戻さないで。

最後はこれだけ残る：
■■■■■■■■■■■■■■■■■■■■

戻さないで。",書いた文章が黒塗りで読めなくなっています。